Rank,JP_Sales
8561,0.16
12992,0.0
8791,0.15
2340,0.0
9950,0.12
10062,0.0
7963,0.0
12689,0.0
106,1.4
5983,0.29
13593,0.0
9352,0.13
2524,0.0
9690,0.12
3194,0.0
9597,0.0
9574,0.0
14632,0.03
4162,0.47
6229,0.0
11690,0.0
15431,0.02
12804,0.03
6212,0.12
8149,0.0
10947,0.0
1682,0.0
5151,0.0
13896,0.04
10166,0.0
6557,0.0
9763,0.0
15192,0.02
3778,0.0
14546,0.0
7708,0.0
16577,0.01
10598,0.0
9582,0.0
1302,0.04
3421,0.42
7528,0.2
4826,0.0
6938,0.24
2139,0.0
5230,0.0
7933,0.19
14081,0.0
3716,0.0
5807,0.0
14068,0.0
12557,0.0
4422,0.0
13055,0.0
15886,0.02
13650,0.0
334,0.0
9485,0.0
11132,0.0
2226,0.0
16409,0.0
2020,0.0
11350,0.0
1395,0.0
131,2.06
16273,0.0
240,0.0
12941,0.05
9868,0.0
8353,0.17
16282,0.01
13099,0.05
12403,0.0
6293,0.02
13518,0.0
7985,0.0
10545,0.1
9151,0.0
9190,0.0
11986,0.0
10041,0.11
7998,0.0
2327,0.01
14983,0.02
14697,0.03
13942,0.04
6473,0.17
3211,0.63
2864,0.37
8499,0.0
4846,0.0
15292,0.02
14090,0.0
1665,0.0
9922,0.11
2767,0.24
15731,0.0
9790,0.0
13550,0.0
5343,0.0
7429,0.2
5854,0.0
6216,0.0
10257,0.0
13446,0.0
9775,0.0
13956,0.0
4128,0.01
13443,0.0
4506,0.0
5231,0.36
10083,0.11
13598,0.04
10666,0.1
13139,0.0
9108,0.0
582,0.24
9059,0.13
12158,0.0
7291,0.0
12695,0.0
16408,0.0
11347,0.08
1772,0.41
15126,0.02
8794,0.0
5121,0.0
3370,0.0
7562,0.2
1835,0.0
5947,0.0
4747,0.04
13985,0.0
7889,0.06
10028,0.0
1243,0.0
3818,0.0
10100,0.01
2818,0.02
2275,0.04
6544,0.0
11865,0.0
1376,0.13
12672,0.06
1061,0.02
15902,0.02
15574,0.0
454,0.04
39,0.3
13435,0.05
3980,0.0
16001,0.01
13085,0.0
11864,0.0
8867,0.15
8977,0.15
11179,0.0
1220,0.0
8416,0.02
14161,0.0
15988,0.0
10356,0.0
16222,0.0
10837,0.0
11383,0.0
494,0.11
12964,0.0
7486,0.0
14134,0.0
3836,0.0
13499,0.04
12669,0.0
27,5.65
8048,0.0
5699,0.32
9399,0.0
13221,0.05
4032,0.02
2332,0.05
16323,0.0
14216,0.03
9687,0.0
3261,0.0
710,0.91
2284,0.02
4410,0.0
7395,0.0
366,0.02
7151,0.0
1541,0.01
5200,0.0
13809,0.04
13447,0.05
2578,0.0
9886,0.0
1278,0.0
15584,0.02
15808,0.0
15934,0.0
7946,0.03
3493,0.0
1804,0.06
12388,0.0
12277,0.0
6226,0.0
15172,0.02
11703,0.08
3522,0.35
13530,0.0
8545,0.0
10533,0.0
6361,0.0
3101,0.0
1556,0.0
2251,0.0
5658,0.0
7754,0.06
7843,0.0
8248,0.0
14148,0.0
9029,0.0
5222,0.0
12374,0.0
5138,0.01
9551,0.0
12373,0.0
1535,0.0
4085,0.01
13920,0.0
14588,0.0
1795,0.47
14528,0.0
7205,0.0
3491,0.0
13178,0.05
9255,0.0
2856,0.0
10375,0.0
10818,0.0
11360,0.08
6828,0.0
6311,0.12
1162,0.04
1654,0.0
13067,0.0
14629,0.03
9106,0.0
16250,0.01
14041,0.0
1394,0.07
5676,0.0
78,0.06
12239,0.0
8562,0.0
11874,0.0
5103,0.21
12750,0.0
12371,0.0
3944,0.0
6754,0.0
12613,0.0
2290,0.0
15114,0.02
9915,0.0
9860,0.02
13011,0.05
12197,0.07
6700,0.23
9510,0.13
12563,0.06
5450,0.01
972,0.03
14789,0.0
9802,0.12
9414,0.13
2123,0.06
7036,0.0
446,0.14
15321,0.02
10140,0.04
1936,0.71
15672,0.02
5436,0.0
4057,0.04
6023,0.0
13114,0.0
21,6.04
15484,0.0
7220,0.0
7434,0.0
10287,0.0
7311,0.03
5987,0.01
12894,0.05
522,0.0
2049,0.0
11156,0.0
13058,0.01
450,0.0
10613,0.0
1045,0.0
8967,0.0
14956,0.0
6352,0.25
15608,0.0
10822,0.0
246,0.02
13609,0.04
12509,0.0
10986,0.0
13918,0.0
10697,0.0
1108,0.0
9929,0.0
3322,0.0
13540,0.04
2691,0.0
13065,0.0
7145,0.05
14018,0.0
8247,0.17
6206,0.0
5713,0.01
15408,0.02
16055,0.01
9328,0.14
7822,0.0
6115,0.0
9737,0.06
15074,0.0
13704,0.0
7717,0.0
13492,0.0
15197,0.0
14867,0.03
2997,0.0
10325,0.0
16002,0.0
93,0.22
901,0.0
4401,0.19
14259,0.0
10705,0.1
16078,0.01
3715,0.0
2051,1.01
10569,0.02
85,0.13
743,0.02
5701,0.0
6250,0.27
6507,0.0
8125,0.0
9755,0.0
740,0.02
7969,0.0
9589,0.13
4621,0.12
13462,0.04
14503,0.0
3847,0.0
5989,0.0
6856,0.24
2243,0.93
319,0.54
2825,0.0
10116,0.0
8398,0.12
13604,0.04
6677,0.0
13688,0.0
6858,0.0
960,0.0
5458,0.0
9425,0.0
10147,0.0
5763,0.0
12024,0.07
2810,0.0
904,1.01
3067,0.0
3165,0.2
4601,0.0
14297,0.03
3481,0.0
10635,0.05
3541,0.0
4413,0.0
5104,0.0
668,0.04
2794,0.22
11520,0.0
15907,0.02
8599,0.03
9605,0.0
5062,0.0
16386,0.0
4613,0.0
966,0.01
1564,0.0
493,0.62
11379,0.0
8803,0.04
12048,0.0
1418,0.01
11043,0.0
885,0.0
982,0.0
5674,0.32
14386,0.0
9093,0.0
6530,0.0
5006,0.38
8544,0.0
16216,0.01
8817,0.0
4792,0.0
16358,0.0
4390,0.0
1686,0.0
12568,0.06
12882,0.05
9001,0.0
15419,0.02
4056,0.0
138,0.0
3817,0.16
7068,0.23
3866,0.31
14127,0.0
12242,0.0
5139,0.0
1208,0.0
4106,0.0
5542,0.32
14782,0.0
4888,0.0
13254,0.0
8425,0.0
3042,0.0
13871,0.0
11862,0.0
15244,0.02
11013,0.0
3780,0.02
4015,0.0
6822,0.18
12620,0.0
6673,0.0
10748,0.1
10558,0.0
11191,0.09
13982,0.0
11199,0.0
3433,0.0
12125,0.0
3953,0.0
11725,0.0
8339,0.0
12707,0.0
2693,0.0
7926,0.19
8741,0.15
15679,0.02
1051,0.03
12875,0.0
7936,0.0
1493,0.0
4020,0.0
10917,0.0
15833,0.02
8915,0.15
5813,0.0
10948,0.0
2617,0.08
15539,0.02
5049,0.0
3375,0.0
11948,0.0
13206,0.05
370,0.05
8116,0.0
9564,0.0
7166,0.22
9587,0.0
2705,0.0
